1;1;letter;Ви здогадувалися про те, що справжнє прізвище Ретчетта – Касетті, що відомий викраденням маленьких дітей, серед яких – Дейзі Армстронг?;Клятий мерзотник! Якби знав, то відтяв би собі правицю перед тим, як стати його секретарем! Мій батько був прокурором, який вів дану справу, містере Пуаро. Я бачив місіс Армстронг лише один раз – вона була чарівною жінкою. Приємна і з розбитим серцем. Ця людина – Ретчетт або Касетті – отримала своє. Я радий його смерті. Такі люди не повинні жити.;0
1;2;null;Розкажіть про всі свої дії минулої ночі.;Це просто. Спершу я повернувся в своє купе, трішки почитав, вийшов на платформу у Белграді. Там було дуже холодно, тому я швидко повернувся назад. Я перекинувся декількома слова з молодою леді з Англії, яка розташовується в купе біля мого. Потім я поговорив з англійцем, полковником Арбетнотом – доказом цього є те, що ви особисто нас бачили. Потім я зайшов до містера Ретчетта і, як я вже казав, пішов писати листи, які потрібно було надіслати. Я побажав йому гарної ночі та пішов. Полковник Арбетнот стояв у коридорі. Його купе було підготоване до сну, тому я запропонував піти до мене. Я замовив кілька склянок алкоголю для нас. Ми балакали про політику, індійський уряд та інші проблеми – Сухий закон в США та Велику кризу. Я взагалі-то не сильно полюбляю британців – вони дуже зарозумілі – але не цей. Він відійшов дуже пізно. Десь близько другої години.;0
1;3;null;Коли ви сиділи з полковником Арбетнотом і балакали, двері вашого купе були відчинені, так? Скажіть, хто проходив коридором після того, як потяг покинув Вінковці і до того, як ви пішли спати?;Думаю, що провідник проходив, з вагону-ресторану. В інший бік йшла жінка, яка  – не можу сказати. Я її не помітив. Розумієте, ми з полковником сперечалися. Я лише помітив проблиск багряного шовку, який промайнув крізь двері. Я не дивився туди, тому й не помітив її обличчя. Як вам відомо, після мого купе знаходиться вагон-ресторан, тому жінка, яка йшла, повинна була б повернутися назад. Чесно кажучи, цього я не бачив.;2
1;4;null;Ви помітили, що поїзд зупинився?;О, так. Я дещо здивувалися. Я виглянув та побачив велику товщу снігу, але не думав, що це серйозно.;0
1;5;smokingPipeBrush;Ви курите трубку?;Ні, сер, не курю.;0
2;6;null;Чи можете ви мені сказати, коли ви востаннє бачили містера Ретчетта?;Десь близько дев'ятої години, сер. Або дещо пізніше. Я підійшов до містера Ретчетта, як зазвичай, і запитав про його побажання. Він вів себе так само, як і завжди, хоча був дещо схвильований через лист, який він прочитав. Він запитав, чи це не я поклав його в купе. Звісно, я відповів, що нічого не робив, але він облаяв мене і звинуватив у всіх гріхах.;0
2;7;null;Що ви робили після того, як пішли від нього?;Я сказав містеру МакКвінну, що господар хоче його бачити. Потім я пішов у своє купе і читав. У мене був зубний біль. Я використав трішки гвоздикової олії, що трішки послабило біль, але все одно мені не вдалося заснути. Я увімкнув світло над головою та продовжив читати – це зайняло весь мій час. Мені вдалося заснути лише о четвертій годині, сер.;6
2;8;null;Чи приймав ваш господар снодійне?;Лише коли їхав у поїзді, сер. Він казав, що інакше він не міг заснути. Минулої ночі він його також приймав. я налив його в склянку і залишив на туалетному столику.;0
2;9;null;Ви не здивувалися, що вранці містер Ретчетт вас не покликав?;Ні, сер.  Інколи він прокидався до сніданку, проте іншого разу він спав аж до обіду.;9
2;10;null;Чи знали ви, що ваш господар мав ворогів?;Так. Я чув, коли він обговорював деякі листи з містером МакКвінном.;0
2;11;letter;Ви були коли-небудь в Америці?;Ні.;0
2;12;null;Ви чули колись про випадок із викраденням дитини Армстронгів?;Так, звісно. Маленька дівчинка, так? Жахливий випадок.;11
2;13;null;Чи знали ви, що ваш роботодавець, містер Ретчетт, був головним винуватцем того злочину?;Ні, не знав. Мені важко в це повірити.;12
2;14;null;Ви щось чули уночі?;Не думаю. Тобто, нічого незвичного. Потяг потрапив у замет, тому все було дуже тихо;0
2;15;null;Скільки років ви працювали на містера Ретчетта?;Понад дев'ять місяців, сер.;0
2;16;smokingPipeBrush;Ви курите трубку?;Ні, сер. Я курю лише дешеві цигарки.;0
3;17;null;Ви щось чули уночі?;Нічого особливого не чула. Але вранці я знайшла ґудзик. Це не мій. У мене таких немає. Я читала журнал минулої ночі, перед тим, як лягати спати. Перед тим, як вимкнути світло, я поклала журнал на невеличку коробку, що стояла на підлозі поблизу вікна. Провідник не підходив до вікна ввечері. Зрештою, вранці я помітила ґудзик справа від журналу.;0
